F	W1	W2
161532.1449	-0.003909663	-0.012214792
160504.3063	-0.003936058	-0.012226142
159436.3793	-0.003962518	-0.012237261
158323.9457	-0.003989038	-0.012248121
157161.4974	-0.004015611	-0.012258685
155942.026	-0.004042225	-0.012268908
154656.3432	-0.00406886	-0.012278726
153292.044	-0.004095482	-0.012288049
151831.6514	-0.004122032	-0.012296745
150249.2699	-0.004148395	-0.012304602
148504.0162	-0.00417433	-0.01231125
146526.7195	-0.004199231	-0.01231595
144201.6216	-0.004221187	-0.012316938
141520.4306	-0.004233052	-0.012309817
139478.7411	-0.004226339	-0.012294919
138303.2201	-0.004210625	-0.012279284
137560.0907	-0.004191407	-0.012263872
137073.3928	-0.004170397	-0.012248764
136758.8315	-0.00414832	-0.012233932
136568.963	-0.004125543	-0.012219335
136474.0806	-0.00410228	-0.012204938
136454.1206	-0.004078666	-0.012190708
136494.7316	-0.004054792	-0.012176619
136585.1964	-0.004030723	-0.012162647
136717.2152	-0.004006507	-0.012148773
136884.1886	-0.003982181	-0.012134981
137080.7344	-0.003957774	-0.012121257
137302.3863	-0.00393331	-0.012107587
137545.378	-0.003908806	-0.012093961
137806.4831	-0.00388428	-0.012080368
138082.9117	-0.003859744	-0.0120668
138372.2294	-0.003835211	-0.012053248
138672.284	-0.003810688	-0.012039705
138981.1742	-0.003786186	-0.012026165
139297.1906	-0.003761713	-0.012012622
139618.8053	-0.003737273	-0.01199907
139944.6338	-0.003712875	-0.011985505
140273.4251	-0.003688522	-0.011971921
140604.0326	-0.003664221	-0.011958315
140935.4159	-0.003639975	-0.011944684
141266.6125	-0.003615789	-0.011931024
141596.7428	-0.003591667	-0.011917331
141924.9908	-0.003567612	-0.011903604
142250.5993	-0.003543627	-0.011889839
142572.8688	-0.003519716	-0.011876034
142891.1406	-0.003495883	-0.011862187
143204.808	-0.003472129	-0.011848297
143513.2868	-0.003448459	-0.011834361
143816.042	-0.003424874	-0.011820378
144112.5592	-0.003401377	-0.011806346
144402.3526	-0.003377971	-0.011792265
144684.9568	-0.00335466	-0.011778133
144959.9306	-0.003331444	-0.011763948
145226.8488	-0.003308328	-0.01174971
145485.2999	-0.003285313	-0.011735418
145734.8862	-0.003262404	-0.011721071
145975.2171	-0.003239601	-0.011706669
146205.915	-0.003216909	-0.011692211
146426.6048	-0.00319433	-0.011677695
146636.9203	-0.003171867	-0.011663122
146836.4874	-0.003149524	-0.01164849
147024.942	-0.003127303	-0.011633801
147201.9142	-0.003105208	-0.011619052
147367.0341	-0.003083244	-0.011604243
147519.9182	-0.003061412	-0.011589375
147660.1854	-0.003039718	-0.011574446
